route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
f3a7a3c72541c084b2820a5c043d7966,898970,185,Jõgeva - Kuremaa -  Palamuse - Saare - Pala - Kadrina - Mustvee,3,3bb5db,Jõgeva ÜTK,"Buss ootab Tartu-Tallinn rongilt tulijad, mis jõuab Jõgeva rongipeatusesse 12:06, ettetellimise alusel. Tellimus esitada dispetšerile telefonil 776 0321.<br>Liin ei ole käigus riigipühadel"
a9c29e206a673f04d42ff098d944bb49,60,185A,Võru - Sõmerpalu - Hänike - Antsla,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
fcd11705e7d2b6675afc2b01cfb9a634,60,185B,Antsla - Hänike - Sõmerpalu - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
bbdb2f69f11bc59b2d4d0e2aa51d4b8c,78,186,Tallinn - Tartu - Võru,3,660000,Maanteeamet,"Väljumine 16:30: Peatusest MÕIGU sisenemine ainult eelmüügist ostetud piletiga."
6a753f9bde312bf63f758edd22f5a60d,898970,186,Mustvee - Kääpa - Voore - Palamuse - Kuremaa - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Piiri peatusesse sõidab buss reisija nõudmisel"
ebefd9ecd69be418ea9b34405025f0d6,60,186A,Võru - Vastseliina - Luhamaa - Misso,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel."
cc68a1bf920ad2263569590a52e2761c,60,186B,Misso - Luhamaa - Vastseliina - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel."
d7eed88fabfdf8bbfb7ec26d85efc083,60,187,Võru - Põlva - Tartu,3,660000,Maanteeamet,
c20c60d2193b646430a8987f20b5410d,898970,187,Pala - Kääpa - Voore - Palamuse - Kuremaa - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel"
28e8cabd3a74bd6fb4cae7431af8771e,60,187,Võru - Luhamaa - Misso - Pältre - Vastseliina - Võru,3,3bb5db,Võru MV,"Käigus ka kõikidel riigipühadel."
c24da2001d5611706f0536aae084b4cd,60,188,Tartu - Kanepi - Võru,3,660000,Maanteeamet,
be4eb3c5e42d08bf7f237d32ff726f7a,898970,188,Mustvee - Omedu - Kodavere - Pala - Palamuse - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel"
e174345c84a399908b7d8d46e02ef193,60,188,Võru - Vastseliina - Obinitsa - Koidula - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
7396646ab7496bb5923d5799871317c0,31,189,Tallinn - Tartu - Põlva - Võru,3,660000,Maanteeamet,
b6a04d070f236e329c7dc92887e8c3af,898970,189,Jõgeva - Kuremaa - Palamuse - Voore - Kääpa - Pala,3,3bb5db,Jõgeva ÜTK,"Liin on käigus ka riigipühadel, kui riigipühale järgneb tööpäev"
5a1c8088f66246bd3d889f8fe1724185,60,189,Võru - Vastseliina - Obinitsa - Plessi,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
a66cecb8d89d039236e02856ff0f0d3f,56,18A,Viru keskus - Urda,3,de2c42,Tallinna TA,
381c2a84b0edb87fe75e997136137743,60,195,Vastseliina-Värska-Koidula-Vastseliina-Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel"
30c2738f2b076badf36b39a0e5342538,100047,18A,Viljandi - Tuhalaane - Polli - Karksi-Nuia - Piiri,3,3bb5db,Viljandi MV,"Liin ei ole käigus riiklikel pühadel<br>Peatused ""Jakobsoni kool"", ""Huntaugu"", ""Reinu tee"", ""Vabaduse plats"" ja ""Raamatukogu"" Viljandisse saabumisel reisijatele väljumiseks"
8c36f9a1422b6c8427e14dac87fa7202,60,18A,Räpina - Veriora - Viluste - Veriora - Ruusa - Räpina,3,3bb5db,Põlva MV,"Käigus koolipäevadel.<br>Pääsna peatust teenindatakse ainult nõudmisel. Sõidusoovist nõudepeatusesse teavitada bussijuhti sisenemisel. Pealetuleku soovi korral nõudepeatusest teatada hiljemalt 2 tundi enne liini  algpeatusest väljumist tel 6404000. Nõudepeatuse tellimisel hilineb buss järgmistesse peatustesse"
935283c50875a7b78cd6d636970ff123,60,18A,Valga - Vilaski - Antsla,3,3bb5db,Valga MV,"Liin ei ole käigus riigipühadel"
