26896,26802,4
27466,27354,5
27983,27955,1
28588,28494,3
29164,29154,2
29872,29818,12
30584,30534,9
31172,31134,1
31906,31734,1
32520,32394,15
33298,33114,3
33866,33834,6
34662,34614,1
35394,35394,2
36174,36174,6
36954,36954,18
37854,37854,4
37946,37854,5
38416,38316,4
38774,38754,25
39096,39024,4
39445,39415,15
39738,39756,4
40314,40254,3
40330,40308,3
41026,40950,28
41126,41094,1
41704,41688,17
42002,41934,1
42492,42390,4
42862,42774,5
42920,42888,3
43620,43470,1
43728,43614,5
44426,44364,3
44500,44454,6
44670,44610,34
45590,45234,31
45342,45288,2
45932,45930,8
46134,46074,1
46578,46488,4
46908,46914,2
46950,46950,6
47774,47754,3
47816,47844,1
48234,48150,6
48650,48594,25
48836,48828,9
49466,49434,3
49634,49530,19
50136,50106,9
50358,50274,23
50652,50550,4
51092,51054,1
51636,51444,2
51822,51774,2
51820,51810,6
52496,52434,5
52582,52506,14
53172,53094,5
53146,53130,12
53686,53706,52
53966,53874,1
54382,54270,22
54428,54414,1
55098,55014,4
55288,55284,6
55510,55470,4
55696,55614,4
56282,56214,1
56334,56286,31
56926,56874,2
57106,57072,1
57544,57474,4
57568,57486,50
58124,58020,15
58120,58074,11
58698,58614,6
58998,58926,1
59318,59214,6
59594,59280,2
59970,59934,19
60074,60030,36
60784,60714,348
60826,60816,390
62000,61290,595
61458,61434,53
61750,61740,345
62154,62154,749
62854,62814,13
63016,62832,15
63014,63000,2
63542,63474,3
63850,63810,19
64176,64134,31
64710,64644,2
64996,64914,16
65202,65124,4
65742,65460,1
65760,65694,8
66510,66474,2
66644,66618,12
66872,66840,2
67334,67314,5
67478,67356,2
68254,68208,3
68518,68496,2
69020,68976,17
69132,69048,2
69576,69540,3
69948,69948,17
70494,70458,5
70758,70698,9
70908,70848,2
71674,71556,10
71764,71688,2
72336,72164,6
72544,72528,14
73020,72996,2
73500,73428,6
73720,73686,8
74358,74328,2
74614,74532,7
75244,75234,545
75288,75288,589
75912,75912,1213
76188,76188,1489
76326,76326,1627
77016,77016,2317
77148,77148,2449
77646,77646,2947
78168,78168,3469
