bus,21,84875,84779,Balti jaam,1396,Z
bus,8,84937,84937,Äigrumäe,1458,Z
bus,66,85020,85020,Priisle,1541,Z
bus,3,85200,85200,Pelguranna,1721,Z
bus,85,85261,85261,Balti jaam,1782,Z
bus,59,85379,85379,Balti jaam,1900,Z
bus,84,85430,85430,Balti jaam,1951,Z
bus,41,85584,85584,Balti jaam,2105,Z
bus,2,85933,85933,Balti jaam,2454,Z
bus,21,86039,86039,Balti jaam,2560,Z
bus,85,86341,86341,Balti jaam,2862,Z
bus,84,86630,86630,Balti jaam,3151,Z
bus,66,86700,86700,Priisle,3221,Z
bus,41,86741,86741,Balti jaam,3262,Z
bus,21,83573,83519,Balti jaam,79,Z
bus,8,83843,83779,Äigrumäe,349,Z
bus,3,84130,84120,Pelguranna,636,Z
bus,85,84197,84187,Balti jaam,703,Z
bus,41,84296,84282,Balti jaam,802,Z
bus,84,84360,84350,Balti jaam,866,Z
bus,2,84669,84667,Balti jaam,1175,Z
bus,21,84875,84779,Balti jaam,1381,Z
bus,8,84937,84937,Äigrumäe,1443,Z
bus,66,85020,85020,Priisle,1526,Z
bus,3,85200,85200,Pelguranna,1706,Z
bus,85,85261,85261,Balti jaam,1767,Z
bus,59,85379,85379,Balti jaam,1885,Z
bus,84,85430,85430,Balti jaam,1936,Z
bus,41,85584,85584,Balti jaam,2090,Z
bus,2,85933,85933,Balti jaam,2439,Z
bus,21,86039,86039,Balti jaam,2545,Z
bus,85,86341,86341,Balti jaam,2847,Z
bus,84,86630,86630,Balti jaam,3136,Z
bus,66,86700,86700,Priisle,3206,Z
bus,41,86741,86741,Balti jaam,3247,Z
bus,21,83573,83519,Balti jaam,64,Z
bus,8,83843,83779,Äigrumäe,334,Z
bus,3,84130,84120,Pelguranna,621,Z
bus,85,84197,84187,Balti jaam,688,Z
bus,41,84296,84282,Balti jaam,787,Z
bus,84,84360,84350,Balti jaam,851,Z
bus,2,84669,84667,Balti jaam,1160,Z
bus,21,84875,84779,Balti jaam,1366,Z
bus,8,84937,84937,Äigrumäe,1428,Z
bus,66,85020,85020,Priisle,1511,Z
bus,3,85200,85200,Pelguranna,1691,Z
bus,85,85261,85261,Balti jaam,1752,Z
bus,59,85379,85379,Balti jaam,1870,Z
bus,84,85430,85430,Balti jaam,1921,Z
bus,41,85584,85584,Balti jaam,2075,Z
bus,2,85933,85933,Balti jaam,2424,Z
bus,21,86039,86039,Balti jaam,2530,Z
bus,85,86341,86341,Balti jaam,2832,Z
bus,84,86630,86630,Balti jaam,3121,Z
bus,66,86700,86700,Priisle,3191,Z
bus,41,86741,86741,Balti jaam,3232,Z
bus,21,83577,83519,Balti jaam,52,Z
bus,8,83853,83779,Äigrumäe,328,Z
bus,3,84130,84120,Pelguranna,605,Z
bus,85,84197,84187,Balti jaam,672,Z
bus,41,84302,84282,Balti jaam,777,Z
bus,84,84360,84350,Balti jaam,835,Z
bus,2,84645,84667,Balti jaam,1120,Z
bus,21,84927,84779,Balti jaam,1402,Z
bus,8,84937,84937,Äigrumäe,1412,Z
bus,66,85020,85020,Priisle,1495,Z
bus,3,85200,85200,Pelguranna,1675,Z
bus,85,85261,85261,Balti jaam,1736,Z
bus,59,85379,85379,Balti jaam,1854,Z
bus,84,85430,85430,Balti jaam,1905,Z
bus,41,85584,85584,Balti jaam,2059,Z
bus,2,85933,85933,Balti jaam,2408,Z
bus,21,86039,86039,Balti jaam,2514,Z
bus,85,86341,86341,Balti jaam,2816,Z
bus,84,86630,86630,Balti jaam,3105,Z
bus,66,86700,86700,Priisle,3175,Z
bus,41,86741,86741,Balti jaam,3216,Z
bus,21,83577,83519,Balti jaam,37,Z
bus,8,83853,83779,Äigrumäe,313,Z
bus,3,84130,84120,Pelguranna,590,Z
bus,85,84197,84187,Balti jaam,657,Z
bus,41,84302,84282,Balti jaam,762,Z
bus,84,84360,84350,Balti jaam,820,Z
bus,2,84645,84667,Balti jaam,1105,Z
bus,21,84927,84779,Balti jaam,1387,Z
bus,8,84937,84937,Äigrumäe,1397,Z
bus,66,85020,85020,Priisle,1480,Z
bus,3,85200,85200,Pelguranna,1660,Z
bus,85,85261,85261,Balti jaam,1721,Z
bus,59,85379,85379,Balti jaam,1839,Z
bus,84,85430,85430,Balti jaam,1890,Z
bus,41,85584,85584,Balti jaam,2044,Z
bus,2,85933,85933,Balti jaam,2393,Z
bus,21,86039,86039,Balti jaam,2499,Z
bus,85,86341,86341,Balti jaam,2801,Z
bus,84,86630,86630,Balti jaam,3090,Z
bus,66,86700,86700,Priisle,3160,Z
bus,41,86741,86741,Balti jaam,3201,Z
bus,21,83597,83519,Balti jaam,42,Z
bus,8,83845,83779,Äigrumäe,290,Z
bus,3,84130,84120,Pelguranna,575,Z
bus,85,84197,84187,Balti jaam,642,Z
bus,41,84296,84282,Balti jaam,741,Z
bus,84,84360,84350,Balti jaam,805,Z
bus,2,84631,84667,Balti jaam,1076,Z
bus,21,84919,84779,Balti jaam,1364,Z
bus,8,84937,84937,Äigrumäe,1382,Z
bus,66,85020,85020,Priisle,1465,Z
bus,3,85200,85200,Pelguranna,1645,Z
bus,85,85261,85261,Balti jaam,1706,Z
bus,59,85379,85379,Balti jaam,1824,Z
bus,84,85430,85430,Balti jaam,1875,Z
bus,41,85584,85584,Balti jaam,2029,Z
bus,2,85933,85933,Balti jaam,2378,Z
bus,21,86039,86039,Balti jaam,2484,Z
bus,85,86341,86341,Balti jaam,2786,Z
bus,84,86630,86630,Balti jaam,3075,Z
bus,66,86700,86700,Priisle,3145,Z
bus,41,86741,86741,Balti jaam,3186,Z
bus,21,83593,83519,Balti jaam,22,Z
bus,8,83833,83779,Äigrumäe,262,Z
bus,3,84130,84120,Pelguranna,559,Z
bus,85,84211,84187,Balti jaam,640,Z
bus,41,84298,84282,Balti jaam,727,Z
bus,84,84360,84350,Balti jaam,789,Z
bus,2,84625,84667,Balti jaam,1054,Z
bus,8,84937,84937,Äigrumäe,1366,Z
bus,21,85007,84779,Balti jaam,1436,Z
bus,66,85020,85020,Priisle,1449,Z
