26965,27007,3
27699,27547,2
28233,28101,5
28780,28722,1
29323,29277,2
29899,29937,6
30666,30606,1
31483,31317,5
31913,31917,2
32681,32517,1
33279,33147,6
34087,33849,2
34585,34569,6
35359,35349,2
36129,36129,4
36909,36909,15
37689,37689,3
37871,37689,1
38069,37849,2
38683,38589,4
38730,38720,2
39455,39409,3
39483,39489,4
40194,40152,3
40254,40160,3
40893,40849,4
41045,40989,2
41448,41438,4
41915,41829,1
42052,42026,3
42745,42669,1
42872,42818,4
43614,43476,11
43543,43509,6
44056,44018,11
44409,44349,2
44698,44546,2
45201,45189,14
45480,45500,2
45768,45686,23
46161,45969,12
46504,46418,6
46889,46809,4
47020,47016,5
47474,47618,1
47607,47649,4
48008,48026,2
48511,48489,5
48880,48980,3
49344,49226,1
49407,49329,4
50028,49970,43
50271,50169,2
50664,50616,5
51117,51069,4
51424,51260,3
51798,51626,5
51861,51849,2
52599,52569,25
52896,52580,32
52972,52886,7
53365,53229,6
53548,53660,2
53969,53889,4
54300,54216,6
54885,54669,1
54940,54860,5
55325,55209,4
55450,55406,4
55957,55809,1
56489,56409,5
56408,56420,1
56650,56612,3
57121,57009,4
57808,57440,2
57773,57669,5
58263,58183,77
58481,58335,3
58864,58640,5
59031,58935,1
59570,59174,5
59749,59475,4
60385,60075,4
60222,60212,4
60894,60434,469
60899,60795,463
61548,61412,143
61859,61575,454
62469,62189,86
62551,62295,168
63128,62672,2
63471,63033,2
63419,63129,5
64021,63693,5
64932,64226,1
64809,64353,3
64604,64388,48
65055,64989,3
65760,65126,2
66307,65769,2
66295,65913,1
66476,66332,1
66759,66549,2
67098,66662,5
67647,67257,3
68004,67790,8
68092,68042,4
68235,68097,6
68632,68528,3
68997,68961,4
69606,69620,1
69917,69801,2
70256,70148,5
70608,70590,5
70723,70701,1
71699,71601,2
71674,71630,4
71750,71736,4
72506,72410,3
72583,72667,4
73216,73174,3
73190,73232,4
74146,73998,1
74250,74132,2
74652,74670,1
75042,75032,354
75538,75528,839
75992,75992,1293
76216,76206,1517
76892,76892,2193
76908,76908,2209
77310,77310,2611
77852,77852,3153
78006,78006,3307
